"HolderAddress","Balance","PendingBalanceUpdate"
"0x30d3609df57c5ce6ed7a7cf5f5fbb162d4a4301a","2,000,000","No"
"0x165402279f2c081c54b00f0e08812f3fd4560a05","611,000.000005","No"
"0xa52f881909a277fbee1c36dbd8f07a006e3ee4ab","454,256.4","No"
"0xbc39cdfba42748446393ffea728cdee91a004107","302,934.656572331314740632","No"
"0x24eeb2143bd2361da07935dd691a4e3c005bdbaa","243,098.01000000000070085","No"
"0x4f90e39b8e5a1a7dc11f90e06474d3807f00309e","207,396.820608919457882703","No"
"0x4919f5da960edaf34b36473c05a543d4c18bfc15","191,247.364235174727138227","No"
"0xbae3d36e5fb173f8faedfcc7314f5204596ffcd2","20,996.564252971763069813","No"
"0x7a14c6702b86bb8f7d209260463c739634d2d95a","20,243.829780465879354828","No"
"0xc4144d2335757876181616619b4bbe01b340ca45","14,392.688495858372744424","No"
"0xd57dd4e18582dc48a51b42f36f0b3b5bf6322e25","11,638.976050527715249492","No"
"0x413928a25d6ea1a26f2625d633207755f67bf97c","11,599.10102121740816806","No"
"0x8ff3b7254157ccca4f282820b51a7850cb3ad6d3","10,008.490901273095134388","No"
"0x54d24f8f250ffb37276c075a41f469f4326993ef","9,857.618027181026878619","No"
"0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb","8,868.714802801671717902","No"
"0x124cc44b7119fb592a774f466823f31885b60440","6,509.631777361917929984","No"
"0xdcce72f638af6820faa3d0ea42cf63adbc7454b5","5,537.497018233657872469","No"
"0x67253a1d6fcd28b471344b7d366c978f4d5903c1","5,528.910000000000163709","No"
"0x5fa5c55e63dc1fb45cd4e5ef04196dacafe4c382","5,000","No"
"0x60fd08ffac8d18a602bcd4b479e137e802053a18","4,990","No"
"0x980fd35741fec7da9322a078cf49cf7ca6996750","4,700","No"
"0xb86825b276bc80edfba005996e9abfbc4e527f93","4,427.44","No"
"0x1943485aeb6f237045affb4a2daa8c4a92e61055","4,415","No"
"0x6131b5fae19ea4f9d964eac0408e4408b66337b5","3,873.670308667334078414","No"
"0x955d45e0dc769b8b19c708c2e803141627aef026","3,206.862770299147964684","No"
"0x5e006fcff8fb0e6bccccbe95ccaa331070aadcde","2,783.98","No"
"0xc80890ec72acb291bde13c448c54582e0bf3b688","2,729.889453990034406777","No"
"0x614bbb4705d1016e6d218322106c9760e920b476","2,107.93970513128988785","No"
"0x529619a10129396a2f642cae32099c1ea7fa2834","2,103.668595640925801029","No"
"0xe73be9de244717e7b8ad0dca0897fda2482f2b0f","2,000","No"
"0x0f2be5a98d3c8934d991df4a84793d2fb03def68","1,990","No"
"0x674122c347ce16456ff7741532034a9725a02e8e","1,805","No"
"0x582e8f63fc69d396395f61191ce1f7870f7289d6","1,287.9","No"
"0x414f6cb44cd975165f8299a5ccbed92aa1a26f58","1,000","No"
"0x39678dd23a3026edef24b382ecddd7879ea057ec","1,000","No"
"0x2177d64c0fb102673b4fbc29854270d2ff823424","986","No"
"0x7f62d301b80ea7c09665d104b86c0cf140634801","963.463776755074143157","No"
"0x0506d1aee8b29f76776a94c2846f6f7600a7b800","900","No"
"0xb1d3ae29a2180e03f0377838e64357e1fe0cd821","900","No"
"0x4a39cac934694605cf60e704a9f7ed338ffa01f6","716.10264415438434018","No"
"0xa85b3c27473aa07ddedbe4ee773f48e82304f145","600","No"
"0x51434f6502b6167abec98ff9f5fd37ef3e07e7d2","593.951375018143716263","No"
"0x9c2b07dd951edae10fbf58bb98a1448cde417f58","522.563413938231651964","No"
"0xfecbad5d60725eb6fd10f8936e02fa203fd27e4b","510.986642170787971107","No"
"0xb61906313e13b0003e465f657cb275dcdba14df0","504.472025761828394436","No"
