"HolderAddress","Balance","PendingBalanceUpdate"
"0x5d0321aee0620475b6e1c723eb98d8fbc52c4177","10,960","No"
"0x9bc31dcba542557b03dce11e4be6bddc763da650","7,000","No"
"0x36cfc3a585606b5d1fc381b9345c3611d0bde352","4,700","No"
"0xbd78a5c7efbf7f84c75ef638689a006512e1a6c4","3,000","No"
"0x4fcd4988df0978d758727b330e7bb838be0ef7b4","779.99999999999999999","No"
"0xa576e1c922df42eaef486de73fefd738ba961f54","470.47","No"
"0xa83e48a0e0a6d1a407a403c4c66055d9a3d887f6","445","No"
"0xc3535e4210963257734d4b706d4d482e0b501a6e","400","No"
"0x9e23f8aa17b2721cf69d157b8a15bd7b64ac881c","336.12","No"
"0xb64a1b262d3593128653df2c177ea442190afe85","274","No"
"0x32184d30b46c6d15b54c86152ece25794a86faba","256","No"
"0x0e6425c5666dd516993e99cafed9767830cb37f9","180","No"
"0x32bdafb65c14bdc1ceb65abb2cfc1d48759695bd","149.5","No"
"0xd476f7534ea8bd760b5a6e665eee87d11fe0122a","111","No"
"0xdfdf5851e2e668da64bc360eb8b124aecaf8745d","100","No"
"0x70997970c51812dc3a010c7d01b50e0d17dc79c8","94","No"
"0xeb98506b024d07fe978bd29ca5f2b6e566d574d3","80.00000000000000001","No"
"0xc5f3370131bb7ce0d28d83735447576aaed1b993","44","No"
"0x798728d5410ab4fb49d2c277a49bac5048ab43ca","42","No"
"0x07921ad3e4845348f837d707708db2c4af195f8f","20","No"
"0x16123815d90cf984884f2a78fa9fdd1346177223","20","No"
"0x2f00c3f5a19c5ea919499f006aff82e7a94fe34d","20","No"
"0x19239d3e0adb2fe20b13a1c14e65ce8ef0b8f20a","18.5","No"
"0xa1e28d1f17b7da62d10fbfafca98fa406d759ce2","1.41","No"
"0xb64fed2aff534d5320bf401d0d5b93ed7abcf13e","0.2","No"
